City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
100,Yenagoa,NG,2021-04-09 20:41:35,4.9247,6.2642,78.31,84,86,4.7
101,Havre-Saint-Pierre,CA,2021-04-09 20:41:36,50.2334,-63.5986,50.0,34,1,16.11
102,Torbay,CA,2021-04-09 20:41:36,47.6666,-52.7314,37.99,100,90,14.97
103,Nuuk,GL,2021-04-09 20:41:36,64.1835,-51.7216,37.4,81,90,31.07
104,Zapolyarnyy,RU,2021-04-09 20:41:36,69.4154,30.8136,23.0,63,0,4.61
105,Kaputa,ZM,2021-04-09 20:41:36,-8.4689,29.6619,69.3,88,100,2.44
106,Fairbanks,US,2021-04-09 20:41:11,64.8378,-147.7164,-0.99,54,20,5.75
107,Hailar,CN,2021-04-09 20:41:37,49.2,119.7,48.22,26,100,18.03
108,Klaksvik,FO,2021-04-09 20:41:37,62.2266,-6.589,28.4,93,75,28.77
109,Camacha,PT,2021-04-09 20:39:28,33.0833,-16.3333,64.4,82,20,11.5
110,Zhigansk,RU,2021-04-09 20:41:37,66.7697,123.3711,2.19,89,100,16.84
111,Yatou,CN,2021-04-09 20:41:38,37.15,122.3833,45.1,49,100,5.23
112,Punta Arenas,CL,2021-04-09 20:41:10,-53.15,-70.9167,51.8,58,40,11.5
113,Zhuhai,CN,2021-04-09 20:41:38,22.2769,113.5678,71.6,78,40,14.97
114,Beaverlodge,CA,2021-04-09 20:41:38,55.2166,-119.4361,46.4,36,90,10.36
115,Havoysund,NO,2021-04-09 20:41:38,70.9963,24.6622,28.4,74,20,13.8
116,Gravdal,NO,2021-04-09 20:41:39,68.1214,13.5031,30.2,59,0,8.05
117,Sitka,US,2021-04-09 20:41:39,57.0531,-135.33,35.6,80,75,3.44
118,Samarai,PG,2021-04-09 20:41:39,-10.6167,150.6667,79.11,85,100,8.79
119,Grindavik,IS,2021-04-09 20:41:39,63.8424,-22.4338,30.2,80,40,4.61
120,Hirara,JP,2021-04-09 20:37:14,24.8,125.2833,71.76,74,100,16.4
121,Wanning,CN,2021-04-09 20:37:08,18.8003,110.3967,73.74,91,58,9.37
122,Lewiston,US,2021-04-09 20:41:40,44.1003,-70.2148,64.4,48,1,12.66
123,Zhezkazgan,KZ,2021-04-09 20:41:40,47.8043,67.7144,44.85,80,8,10.71
124,Pangnirtung,CA,2021-04-09 20:40:12,66.1451,-65.7125,17.6,93,90,9.22
125,Provideniya,RU,2021-04-09 20:41:40,64.3833,-173.3,0.55,88,100,12.1
126,Lavrentiya,RU,2021-04-09 20:41:40,65.5833,-171.0,-4.7,94,100,3.85
127,Nanortalik,GL,2021-04-09 20:41:41,60.1432,-45.2371,36.72,98,100,10.07
128,Semenivka,UA,2021-04-09 20:41:41,52.1783,32.5818,35.94,62,22,6.89
129,Palmares Do Sul,BR,2021-04-09 20:41:41,-30.2578,-50.5097,75.97,67,83,8.88
130,Luebo,CD,2021-04-09 20:41:41,-5.35,21.4167,70.77,97,100,2.71
131,Kampene,CD,2021-04-09 20:41:42,-3.6,26.6667,69.06,96,99,0.56
132,Ancud,CL,2021-04-09 20:37:49,-41.8697,-73.8203,59.0,58,20,4.61
133,Veraval,IN,2021-04-09 20:41:42,20.9,70.3667,79.05,67,0,11.21
134,Jijiga,ET,2021-04-09 20:41:42,9.35,42.8,66.9,31,3,6.44
135,Tuktoyaktuk,CA,2021-04-09 20:41:42,69.4541,-133.0374,-16.6,76,90,16.11
136,Araquari,BR,2021-04-09 20:41:43,-26.3703,-48.7211,78.8,78,20,13.8
137,Acapulco,MX,2021-04-09 20:41:06,16.8634,-99.8901,86.0,66,1,6.91
138,Dumas,US,2021-04-09 20:36:58,35.8656,-101.9732,64.0,25,1,28.77
139,Iskateley,RU,2021-04-09 20:41:43,67.6803,53.1512,32.2,78,78,15.57
140,Jiexiu,CN,2021-04-09 20:41:43,37.0244,111.9125,49.05,63,71,3.74
141,Knysna,ZA,2021-04-09 20:41:43,-34.0363,23.0471,59.0,88,0,3.44
142,Padang,ID,2021-04-09 20:41:44,-0.9492,100.3543,77.0,94,90,3.96
143,Namatanai,PG,2021-04-09 20:41:44,-3.6667,152.4333,80.56,81,99,4.9
144,Saint-Philippe,RE,2021-04-09 20:41:44,-21.3585,55.7679,77.0,69,40,3.44
145,Naze,JP,2021-04-09 20:41:44,28.3667,129.4833,63.52,70,65,13.47
146,Buraydah,SA,2021-04-09 20:41:45,26.326,43.975,86.0,26,40,6.91
147,Opunake,NZ,2021-04-09 20:41:45,-39.4556,173.8583,60.01,94,100,5.99
148,Albacete,ES,2021-04-09 20:41:45,38.8333,-2.0,50.0,81,0,5.75
